idLog,idPersona,zona1,zona2,zona3,zona4
399,6,0,0,0.27,0.65
400,8,0,0,0.43,0
401,4,0,0,0,1.07
402,1,0,0,1.65,0.55
403,6,0,0,0.27,0.67
404,8,0,0,0.45,0
405,4,0,0,0,1.08
406,1,0,0,1.67,0.55
407,6,0,0,0.27,0.68
408,8,0,0,0.47,0
409,4,0,0,0,1.1
410,1,0,0,1.69,0.55
411,6,0,0,0.27,0.7
412,8,0,0,0.48,0
413,4,0,0,0,1.12
414,1,0,0,1.7,0.55
415,6,0,0,0.27,0.72
416,8,0,0,0.5,0
417,4,0,0,0,1.13
418,1,0,0,1.72,0.55
419,6,0,0,0.27,0.73
420,8,0,0,0.52,0
421,4,0,0,0,1.15
422,1,0,0,1.74,0.55
423,6,0,0,0.27,0.75
424,8,0,0,0.53,0
425,4,0,0,0,1.17
426,1,0,0,1.75,0.55
427,6,0,0,0.27,0.77
428,8,0,0,0.55,0
429,4,0,0,0,1.18
430,1,0,0,1.77,0.55
431,6,0,0,0.27,0.78
432,8,0,0,0.57,0
433,4,0,0,0,1.2
434,1,0,0,1.79,0.55
435,6,0,0,0.27,0.8
436,8,0,0,0.58,0
437,4,0,0,0,1.22
438,1,0,0,1.8,0.55
439,6,0,0,0.27,0.82
440,8,0,0,0.6,0
441,4,0,0,0,1.23
442,1,0,0,1.82,0.55
443,6,0,0,0.27,0.83
444,8,0,0,0.62,0
445,4,0,0,0,1.25
446,1,0,0,1.84,0.55
447,6,0,0,0.27,0.85
448,8,0,0,0.63,0
449,4,0,0,0,1.27
450,1,0,0,1.85,0.55
451,6,0,0,0.27,0.87
452,8,0,0,0.65,0
453,4,0,0,0,1.28
454,1,0,0,1.87,0.55
455,6,0,0,0.27,0.88
456,8,0,0,0.67,0
457,4,0,0,0,1.3
458,1,0,0,1.89,0.55
459,6,0,0,0.27,0.9
460,8,0,0,0.68,0
461,4,0,0,0,1.32
462,1,0,0,1.9,0.55
463,6,0,0,0.27,0.92
464,8,0,0,0.7,0
465,4,0,0,0,1.33
466,1,0,0,1.92,0.55
467,6,0,0,0.27,0.93
468,8,0,0,0.72,0
469,4,0,0,0,1.35
470,1,0,0,1.94,0.55
471,6,0,0,0.27,0.95
472,8,0,0,0.73,0
473,4,0,0,0,1.37
474,1,0,0,1.95,0.55
475,6,0,0,0.27,0.97
476,8,0,0,0.75,0
477,4,0,0,0,1.38
478,1,0,0,1.97,0.55
479,6,0,0,0.27,0.98
480,8,0,0,0.77,0
481,4,0,0,0,1.4
482,1,0,0,1.99,0.55
483,6,0,0,0.27,1.0
484,8,0,0,0.78,0
485,4,0,0,0,1.42
486,1,0,0,2.0,0.55
487,6,0,0,0.27,1.02
488,8,0,0,0.8,0
489,4,0,0,0,1.43
490,1,0,0,2.02,0.55
491,6,0,0,0.27,1.03
492,8,0,0,0.82,0
493,1,0,0,2.04,0.55
494,6,0,0,0.27,1.05
495,8,0,0,0.83,0
496,4,0,0,0,1.45
